table_schema,table_name,field_name,field_order,field_type,required,primary_key,foreign_key,linked_schema,linked_table,linked_field,value_set_name,definition,null_semantics,validation_rule,introduced_version,deprecated_version,active
control,electoral_authority,authority_code,2,VARCHAR,True,False,False,,,,,Field authority_code in control.electoral_authority.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_authority,authority_name,3,VARCHAR,True,False,False,,,,,Field authority_name in control.electoral_authority.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_authority,jurisdiction_id,4,VARCHAR,True,False,True,control,jurisdiction,jurisdiction_id,,Field jurisdiction_id in control.electoral_authority.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_authority,website_url,5,VARCHAR,False,False,False,,,,,Field website_url in control.electoral_authority.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_authority,active,6,BOOLEAN,True,False,False,,,,,Field active in control.electoral_authority.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,electoral_system_version_id,1,VARCHAR,True,True,False,,,,,Field electoral_system_version_id in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,system_code,2,VARCHAR,True,False,False,,,,,Field system_code in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,system_name,3,VARCHAR,True,False,False,,,,,Field system_name in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,version_label,4,VARCHAR,True,False,False,,,,,Field version_label in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,jurisdiction_id,5,VARCHAR,False,False,True,control,jurisdiction,jurisdiction_id,,Field jurisdiction_id in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,valid_from,6,DATE,False,False,False,,,,,Field valid_from in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,valid_to,7,DATE,False,False,False,,,,,Field valid_to in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,seats_per_contest,8,INTEGER,False,False,False,,,,,Field seats_per_contest in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,preference_expression,9,VARCHAR,False,False,False,,,,,Field preference_expression in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,quota_method,10,VARCHAR,False,False,False,,,,,Field quota_method in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,transfer_method,11,VARCHAR,False,False,False,,,,,Field transfer_method in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,tie_rule,12,VARCHAR,False,False,False,,,,,Field tie_rule in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,source_revision_id,13,VARCHAR,False,False,True,provenance,source_file_revision,source_revision_id,,Field source_revision_id in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_system_version,notes,14,VARCHAR,False,False,False,,,,,Field notes in control.electoral_system_version.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,jurisdiction,jurisdiction_id,1,VARCHAR,True,True,False,,,,,Field jurisdiction_id in control.jurisdiction.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,jurisdiction,jurisdiction_code,2,VARCHAR,True,False,False,,,,,Field jurisdiction_code in control.jurisdiction.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,jurisdiction,jurisdiction_name,3,VARCHAR,True,False,False,,,,,Field jurisdiction_name in control.jurisdiction.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,jurisdiction,jurisdiction_level,4,VARCHAR,True,False,False,,,,,Field jurisdiction_level in control.jurisdiction.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,jurisdiction,country_code,5,VARCHAR,True,False,False,,,,,Field country_code in control.jurisdiction.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,jurisdiction,parent_jurisdiction_id,6,VARCHAR,False,False,True,control,jurisdiction,jurisdiction_id,,Field parent_jurisdiction_id in control.jurisdiction.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,jurisdiction,active,7,BOOLEAN,True,False,False,,,,,Field active in control.jurisdiction.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,relationship_contract,relationship_id,1,VARCHAR,True,True,False,,,,,Field relationship_id in control.relationship_contract.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,relationship_contract,child_schema,2,VARCHAR,True,False,False,,,,,Field child_schema in control.relationship_contract.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,relationship_contract,child_table,3,VARCHAR,True,False,False,,,,,Field child_table in control.relationship_contract.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,relationship_contract,child_field,4,VARCHAR,True,False,False,,,,,Field child_field in control.relationship_contract.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,relationship_contract,parent_schema,5,VARCHAR,True,False,False,,,,,Field parent_schema in control.relationship_contract.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
